Tstart,Tstop,Nx,logfolder,resfolder,controller,Kp,yaw,wsp,_seed,seed,Tint,dx,filename
100,700,8192,./log/dlc11_1/,./res/dlc11_1/,ipc06,-1,0,10,1,1010,0.2096,0.8544921875,dlc11_1_000_ipc06_10_1000_1010
100,700,8192,./log/dlc11_1/,./res/dlc11_1/,ipc06,-1,0,10,2,2010,0.2096,0.8544921875,dlc11_1_000_ipc06_10_1000_2010
100,700,8192,./log/dlc11_1/,./res/dlc11_1/,ipc06,-1,0,10,3,3010,0.2096,0.8544921875,dlc11_1_000_ipc06_10_1000_3010
100,700,8192,./log/dlc11_1/,./res/dlc11_1/,ipc06,-1,0,12,1,1012,0.19466666666666665,1.025390625,dlc11_1_000_ipc06_12_1000_1012
100,700,8192,./log/dlc11_1/,./res/dlc11_1/,ipc06,-1,0,12,2,2012,0.19466666666666665,1.025390625,dlc11_1_000_ipc06_12_1000_2012
100,700,8192,./log/dlc11_1/,./res/dlc11_1/,ipc06,-1,0,12,3,3012,0.19466666666666665,1.025390625,dlc11_1_000_ipc06_12_1000_3012
100,700,8192,./log/dlc11_1/,./res/dlc11_1/,ipc06,-1,0,14,1,1014,0.184,1.1962890625,dlc11_1_000_ipc06_14_1000_1014
100,700,8192,./log/dlc11_1/,./res/dlc11_1/,ipc06,-1,0,14,2,2014,0.184,1.1962890625,dlc11_1_000_ipc06_14_1000_2014
100,700,8192,./log/dlc11_1/,./res/dlc11_1/,ipc06,-1,0,14,3,3014,0.184,1.1962890625,dlc11_1_000_ipc06_14_1000_3014
100,700,8192,./log/dlc11_1/,./res/dlc11_1/,ipc06,-1,0,16,1,1016,0.17600000000000002,1.3671875,dlc11_1_000_ipc06_16_1000_1016
100,700,8192,./log/dlc11_1/,./res/dlc11_1/,ipc06,-1,0,16,2,2016,0.17600000000000002,1.3671875,dlc11_1_000_ipc06_16_1000_2016
100,700,8192,./log/dlc11_1/,./res/dlc11_1/,ipc06,-1,0,16,3,3016,0.17600000000000002,1.3671875,dlc11_1_000_ipc06_16_1000_3016
100,700,8192,./log/dlc11_1/,./res/dlc11_1/,ipc06,-1,0,18,1,1018,0.1697777777777778,1.5380859375,dlc11_1_000_ipc06_18_1000_1018
100,700,8192,./log/dlc11_1/,./res/dlc11_1/,ipc06,-1,0,18,2,2018,0.1697777777777778,1.5380859375,dlc11_1_000_ipc06_18_1000_2018
100,700,8192,./log/dlc11_1/,./res/dlc11_1/,ipc06,-1,0,18,3,3018,0.1697777777777778,1.5380859375,dlc11_1_000_ipc06_18_1000_3018
100,700,8192,./log/dlc11_1/,./res/dlc11_1/,ipc06,-1,0,20,1,1020,0.1648,1.708984375,dlc11_1_000_ipc06_20_1000_1020
100,700,8192,./log/dlc11_1/,./res/dlc11_1/,ipc06,-1,0,20,2,2020,0.1648,1.708984375,dlc11_1_000_ipc06_20_1000_2020
100,700,8192,./log/dlc11_1/,./res/dlc11_1/,ipc06,-1,0,20,3,3020,0.1648,1.708984375,dlc11_1_000_ipc06_20_1000_3020
100,700,8192,./log/dlc11_1/,./res/dlc11_1/,ipc06,-1,0,22,1,1022,0.16072727272727275,1.8798828125,dlc11_1_000_ipc06_22_1000_1022
100,700,8192,./log/dlc11_1/,./res/dlc11_1/,ipc06,-1,0,22,2,2022,0.16072727272727275,1.8798828125,dlc11_1_000_ipc06_22_1000_2022
100,700,8192,./log/dlc11_1/,./res/dlc11_1/,ipc06,-1,0,22,3,3022,0.16072727272727275,1.8798828125,dlc11_1_000_ipc06_22_1000_3022
100,700,8192,./log/dlc11_1/,./res/dlc11_1/,ipc06,-1,0,24,1,1024,0.15733333333333335,2.05078125,dlc11_1_000_ipc06_24_1000_1024
100,700,8192,./log/dlc11_1/,./res/dlc11_1/,ipc06,-1,0,24,2,2024,0.15733333333333335,2.05078125,dlc11_1_000_ipc06_24_1000_2024
100,700,8192,./log/dlc11_1/,./res/dlc11_1/,ipc06,-1,0,24,3,3024,0.15733333333333335,2.05078125,dlc11_1_000_ipc06_24_1000_3024
100,700,8192,./log/dlc11_1/,./res/dlc11_1/,ipc06,-1,0,26,1,1026,0.15446153846153846,2.2216796875,dlc11_1_000_ipc06_26_1000_1026
100,700,8192,./log/dlc11_1/,./res/dlc11_1/,ipc06,-1,0,26,2,2026,0.15446153846153846,2.2216796875,dlc11_1_000_ipc06_26_1000_2026
100,700,8192,./log/dlc11_1/,./res/dlc11_1/,ipc06,-1,0,26,3,3026,0.15446153846153846,2.2216796875,dlc11_1_000_ipc06_26_1000_3026
100,700,8192,./log/dlc11_1/,./res/dlc11_1/,ipc07,-1,0,4,1,1004,0.344,0.341796875,dlc11_1_000_ipc07_04_1000_1004
100,700,8192,./log/dlc11_1/,./res/dlc11_1/,ipc07,-1,0,4,2,2004,0.344,0.341796875,dlc11_1_000_ipc07_04_1000_2004
100,700,8192,./log/dlc11_1/,./res/dlc11_1/,ipc07,-1,0,4,3,3004,0.344,0.341796875,dlc11_1_000_ipc07_04_1000_3004
100,700,8192,./log/dlc11_1/,./res/dlc11_1/,ipc07,-1,0,6,1,1006,0.2693333333333333,0.5126953125,dlc11_1_000_ipc07_06_1000_1006
100,700,8192,./log/dlc11_1/,./res/dlc11_1/,ipc07,-1,0,6,2,2006,0.2693333333333333,0.5126953125,dlc11_1_000_ipc07_06_1000_2006
100,700,8192,./log/dlc11_1/,./res/dlc11_1/,ipc07,-1,0,6,3,3006,0.2693333333333333,0.5126953125,dlc11_1_000_ipc07_06_1000_3006
100,700,8192,./log/dlc11_1/,./res/dlc11_1/,ipc07,-1,0,8,1,1008,0.23199999999999998,0.68359375,dlc11_1_000_ipc07_08_1000_1008
100,700,8192,./log/dlc11_1/,./res/dlc11_1/,ipc07,-1,0,8,2,2008,0.23199999999999998,0.68359375,dlc11_1_000_ipc07_08_1000_2008
100,700,8192,./log/dlc11_1/,./res/dlc11_1/,ipc07,-1,0,8,3,3008,0.23199999999999998,0.68359375,dlc11_1_000_ipc07_08_1000_3008
100,700,8192,./log/dlc11_1/,./res/dlc11_1/,ipc07,-1,0,10,1,1010,0.2096,0.8544921875,dlc11_1_000_ipc07_10_1000_1010
100,700,8192,./log/dlc11_1/,./res/dlc11_1/,ipc07,-1,0,10,2,2010,0.2096,0.8544921875,dlc11_1_000_ipc07_10_1000_2010
100,700,8192,./log/dlc11_1/,./res/dlc11_1/,ipc07,-1,0,10,3,3010,0.2096,0.8544921875,dlc11_1_000_ipc07_10_1000_3010
100,700,8192,./log/dlc11_1/,./res/dlc11_1/,ipc07,-1,0,12,1,1012,0.19466666666666665,1.025390625,dlc11_1_000_ipc07_12_1000_1012
100,700,8192,./log/dlc11_1/,./res/dlc11_1/,ipc07,-1,0,12,2,2012,0.19466666666666665,1.025390625,dlc11_1_000_ipc07_12_1000_2012
100,700,8192,./log/dlc11_1/,./res/dlc11_1/,ipc07,-1,0,12,3,3012,0.19466666666666665,1.025390625,dlc11_1_000_ipc07_12_1000_3012
100,700,8192,./log/dlc11_1/,./res/dlc11_1/,ipc07,-1,0,14,1,1014,0.184,1.1962890625,dlc11_1_000_ipc07_14_1000_1014
100,700,8192,./log/dlc11_1/,./res/dlc11_1/,ipc07,-1,0,14,2,2014,0.184,1.1962890625,dlc11_1_000_ipc07_14_1000_2014
100,700,8192,./log/dlc11_1/,./res/dlc11_1/,ipc07,-1,0,14,3,3014,0.184,1.1962890625,dlc11_1_000_ipc07_14_1000_3014
100,700,8192,./log/dlc11_1/,./res/dlc11_1/,ipc07,-1,0,16,1,1016,0.17600000000000002,1.3671875,dlc11_1_000_ipc07_16_1000_1016
100,700,8192,./log/dlc11_1/,./res/dlc11_1/,ipc07,-1,0,16,2,2016,0.17600000000000002,1.3671875,dlc11_1_000_ipc07_16_1000_2016
100,700,8192,./log/dlc11_1/,./res/dlc11_1/,ipc07,-1,0,16,3,3016,0.17600000000000002,1.3671875,dlc11_1_000_ipc07_16_1000_3016
100,700,8192,./log/dlc11_1/,./res/dlc11_1/,ipc07,-1,0,18,1,1018,0.1697777777777778,1.5380859375,dlc11_1_000_ipc07_18_1000_1018
100,700,8192,./log/dlc11_1/,./res/dlc11_1/,ipc07,-1,0,18,2,2018,0.1697777777777778,1.5380859375,dlc11_1_000_ipc07_18_1000_2018
100,700,8192,./log/dlc11_1/,./res/dlc11_1/,ipc07,-1,0,18,3,3018,0.1697777777777778,1.5380859375,dlc11_1_000_ipc07_18_1000_3018
100,700,8192,./log/dlc11_1/,./res/dlc11_1/,ipc07,-1,0,20,1,1020,0.1648,1.708984375,dlc11_1_000_ipc07_20_1000_1020
100,700,8192,./log/dlc11_1/,./res/dlc11_1/,ipc07,-1,0,20,2,2020,0.1648,1.708984375,dlc11_1_000_ipc07_20_1000_2020
100,700,8192,./log/dlc11_1/,./res/dlc11_1/,ipc07,-1,0,20,3,3020,0.1648,1.708984375,dlc11_1_000_ipc07_20_1000_3020
100,700,8192,./log/dlc11_1/,./res/dlc11_1/,ipc07,-1,0,22,1,1022,0.16072727272727275,1.8798828125,dlc11_1_000_ipc07_22_1000_1022
100,700,8192,./log/dlc11_1/,./res/dlc11_1/,ipc07,-1,0,22,2,2022,0.16072727272727275,1.8798828125,dlc11_1_000_ipc07_22_1000_2022
100,700,8192,./log/dlc11_1/,./res/dlc11_1/,ipc07,-1,0,22,3,3022,0.16072727272727275,1.8798828125,dlc11_1_000_ipc07_22_1000_3022
100,700,8192,./log/dlc11_1/,./res/dlc11_1/,ipc07,-1,0,24,1,1024,0.15733333333333335,2.05078125,dlc11_1_000_ipc07_24_1000_1024
100,700,8192,./log/dlc11_1/,./res/dlc11_1/,ipc07,-1,0,24,2,2024,0.15733333333333335,2.05078125,dlc11_1_000_ipc07_24_1000_2024
100,700,8192,./log/dlc11_1/,./res/dlc11_1/,ipc07,-1,0,24,3,3024,0.15733333333333335,2.05078125,dlc11_1_000_ipc07_24_1000_3024
100,700,8192,./log/dlc11_1/,./res/dlc11_1/,ipc07,-1,0,26,1,1026,0.15446153846153846,2.2216796875,dlc11_1_000_ipc07_26_1000_1026
100,700,8192,./log/dlc11_1/,./res/dlc11_1/,ipc07,-1,0,26,2,2026,0.15446153846153846,2.2216796875,dlc11_1_000_ipc07_26_1000_2026
100,700,8192,./log/dlc11_1/,./res/dlc11_1/,ipc07,-1,0,26,3,3026,0.15446153846153846,2.2216796875,dlc11_1_000_ipc07_26_1000_3026
100,700,8192,./log/dlc11_1/,./res/dlc11_1/,ipc08,-1,0,4,1,1004,0.344,0.341796875,dlc11_1_000_ipc08_04_1000_1004
100,700,8192,./log/dlc11_1/,./res/dlc11_1/,ipc08,-1,0,4,2,2004,0.344,0.341796875,dlc11_1_000_ipc08_04_1000_2004
100,700,8192,./log/dlc11_1/,./res/dlc11_1/,ipc08,-1,0,4,3,3004,0.344,0.341796875,dlc11_1_000_ipc08_04_1000_3004
100,700,8192,./log/dlc11_1/,./res/dlc11_1/,ipc08,-1,0,6,1,1006,0.2693333333333333,0.5126953125,dlc11_1_000_ipc08_06_1000_1006
100,700,8192,./log/dlc11_1/,./res/dlc11_1/,ipc08,-1,0,6,2,2006,0.2693333333333333,0.5126953125,dlc11_1_000_ipc08_06_1000_2006
100,700,8192,./log/dlc11_1/,./res/dlc11_1/,ipc08,-1,0,6,3,3006,0.2693333333333333,0.5126953125,dlc11_1_000_ipc08_06_1000_3006
100,700,8192,./log/dlc11_1/,./res/dlc11_1/,ipc08,-1,0,8,1,1008,0.23199999999999998,0.68359375,dlc11_1_000_ipc08_08_1000_1008
100,700,8192,./log/dlc11_1/,./res/dlc11_1/,ipc08,-1,0,8,2,2008,0.23199999999999998,0.68359375,dlc11_1_000_ipc08_08_1000_2008
100,700,8192,./log/dlc11_1/,./res/dlc11_1/,ipc08,-1,0,8,3,3008,0.23199999999999998,0.68359375,dlc11_1_000_ipc08_08_1000_3008
100,700,8192,./log/dlc11_1/,./res/dlc11_1/,ipc08,-1,0,10,1,1010,0.2096,0.8544921875,dlc11_1_000_ipc08_10_1000_1010
100,700,8192,./log/dlc11_1/,./res/dlc11_1/,ipc08,-1,0,10,2,2010,0.2096,0.8544921875,dlc11_1_000_ipc08_10_1000_2010
100,700,8192,./log/dlc11_1/,./res/dlc11_1/,ipc08,-1,0,10,3,3010,0.2096,0.8544921875,dlc11_1_000_ipc08_10_1000_3010
100,700,8192,./log/dlc11_1/,./res/dlc11_1/,ipc08,-1,0,12,1,1012,0.19466666666666665,1.025390625,dlc11_1_000_ipc08_12_1000_1012
100,700,8192,./log/dlc11_1/,./res/dlc11_1/,ipc08,-1,0,12,2,2012,0.19466666666666665,1.025390625,dlc11_1_000_ipc08_12_1000_2012
100,700,8192,./log/dlc11_1/,./res/dlc11_1/,ipc08,-1,0,12,3,3012,0.19466666666666665,1.025390625,dlc11_1_000_ipc08_12_1000_3012
100,700,8192,./log/dlc11_1/,./res/dlc11_1/,ipc08,-1,0,14,1,1014,0.184,1.1962890625,dlc11_1_000_ipc08_14_1000_1014
100,700,8192,./log/dlc11_1/,./res/dlc11_1/,ipc08,-1,0,14,2,2014,0.184,1.1962890625,dlc11_1_000_ipc08_14_1000_2014
100,700,8192,./log/dlc11_1/,./res/dlc11_1/,ipc08,-1,0,14,3,3014,0.184,1.1962890625,dlc11_1_000_ipc08_14_1000_3014
100,700,8192,./log/dlc11_1/,./res/dlc11_1/,ipc08,-1,0,16,1,1016,0.17600000000000002,1.3671875,dlc11_1_000_ipc08_16_1000_1016
100,700,8192,./log/dlc11_1/,./res/dlc11_1/,ipc08,-1,0,16,2,2016,0.17600000000000002,1.3671875,dlc11_1_000_ipc08_16_1000_2016
100,700,8192,./log/dlc11_1/,./res/dlc11_1/,ipc08,-1,0,16,3,3016,0.17600000000000002,1.3671875,dlc11_1_000_ipc08_16_1000_3016
100,700,8192,./log/dlc11_1/,./res/dlc11_1/,ipc08,-1,0,18,1,1018,0.1697777777777778,1.5380859375,dlc11_1_000_ipc08_18_1000_1018
100,700,8192,./log/dlc11_1/,./res/dlc11_1/,ipc08,-1,0,18,2,2018,0.1697777777777778,1.5380859375,dlc11_1_000_ipc08_18_1000_2018
100,700,8192,./log/dlc11_1/,./res/dlc11_1/,ipc08,-1,0,18,3,3018,0.1697777777777778,1.5380859375,dlc11_1_000_ipc08_18_1000_3018
100,700,8192,./log/dlc11_1/,./res/dlc11_1/,ipc08,-1,0,20,1,1020,0.1648,1.708984375,dlc11_1_000_ipc08_20_1000_1020
